123 application-vnd.lotus-1-2-3
ei6 application-vnd.pg.osasli
elc application-octet-stream
emb chemical-x-embl-dl-nucleotide
embl chemical-x-embl-dl-nucleotide
emf application-x-msmetafile
eml message-rfc822
emma application-emma+xml
emz application-x-msmetafile
ent chemical-x-pdb
eol audio-vnd.digital-winds
eot application-vnd.ms-fontobject
eps2 application-postscript
eps3 application-postscript
eps application-postscript
epsf application-postscript
epsi application-postscript
epub application-epub+zip
erf image-x-epson-erf
es3 application-vnd.eszigno3+xml
esa application-vnd.osgi.subsystem
es application-ecmascript
esf application-vnd.epson.esf
et3 application-vnd.eszigno3+xml
etx text-x-setext
eva application-x-eva
evy application-x-envoy
exe application-x-msdownload
exi application-exi
ext application-vnd.novadigm.ext
ez2 application-vnd.ezpix-album
ez3 application-vnd.ezpix-package
ez application-andrew-inset
f4v video
f77 text-x-fortran
f90 text-x-fortran
fb application-x-maker
fbdoc application-x-maker
fbs image-vnd.fastbidsheet
fcdt application-vnd.adobe.formscentral.fcdt
fch chemical-x-gaussian-checkpoint
fchk chemical-x-gaussian-checkpoint
fcs application-vnd.isac.fcs
fdf application-vnd.fdf
fe_launch application-vnd.denovo.fcselayout-link
fg5 application-vnd.fujitsu.oasysgp
fgd application-x-director
fh4 image-x-freehand
fh5 image-x-freehand
fh7 image-x-freehand
fhc image-x-freehand
fh image-x-freehand
fig application-x-xfig
flac audio-flac
fli video
flo application-vnd.micrografx.flo
flv video
flw application-vnd.kde.kivio
flx text-vnd.fmi.flexstor
fly text-vnd.fly
fm application-x-maker
fnc application-vnd.frogans.fnc
for text-x-fortran
fpx image-vnd.fpx
frame application-x-maker
frm application-x-maker
fsc application-vnd.fsc.weblaunch
fst image-vnd.fst
ftc application-vnd.fluxtime.clip
f text-x-fortran
fti application-vnd.anser-web-funds-transfer-initiation
fvt video
fxp application-vnd.adobe.fxp
fxpl application-vnd.adobe.fxp
fzs application-vnd.fuzzysheet
g2w application-vnd.geoplan
g3 image-g3fax
g3w application-vnd.geospace
gac application-vnd.groove-account
gal chemical-x-gaussian-log
gam application-x-tads
gamin chemical-x-gamess-input
gan application-x-ganttproject
gau chemical-x-gaussian-input
gbr application-rpki-ghostbusters
gca application-x-gca-compressed
gcd text-x-pcs-gcd
gcf application-x-graphing-calculator
gcg chemical-x-gcg8-sequence
gdl model-vnd.gdl
gen chemical-x-genbank
geo application-vnd.dynageo
gex application-vnd.geometry-explorer
gf application-x-tex-gf
ggb application-vnd.geogebra.file
ggt application-vnd.geogebra.tool
ghf application-vnd.groove-help
gif image-gif
gim application-vnd.groove-identity-message
gjc chemical-x-gaussian-input
gjf chemical-x-gaussian-input
gl video
gml application-gml+xml
gmx application-vnd.gmx
gnumeric application-x-gnumeric
gph application-vnd.flographit
gpt chemical-x-mopac-graph
gpx application-gpx+xml
gqf application-vnd.grafeq
gqs application-vnd.grafeq
gram application-srgs
gramps application-x-gramps-xml
gre application-vnd.geometry-explorer
grv application-vnd.groove-injector
grxml application-srgs+xml
gsf application-x-font
gsm audio-x-gsm
gtar application-x-gtar
gtm application-vnd.groove-tool-message
gtw model-vnd.gtw
gv text-vnd.graphviz
gxf application-gxf
gxt application-vnd.geonext
h261 video
h263 video
h264 video
hal application-vnd.hal+xml
hbci application-vnd.hbci
hdf application-x-hdf
hh text-x-c
hin chemical-x-hin
hlp application-winhlp
hpgl application-vnd.hp-hpgl
hpid application-vnd.hp-hpid
hpp text-x-c++hdr
hps application-vnd.hp-hps
hqx application-mac-binhex40
hs text-x-haskell
hta application-hta
htc text-x-component
h text-x-c
h++ text-x-c++hdr
htke application-vnd.kenameaapp
html text-html
htm text-html
hvd application-vnd.yamaha.hv-dic
hvp application-vnd.yamaha.hv-voice
hvs application-vnd.yamaha.hv-script
hwp application-x-hwp
hxx text-x-c++hdr
i2g application-vnd.intergeo
ica application-x-ica
icc application-vnd.iccprofile
ice x-conference-x-cooltalk
icm application-vnd.iccprofile
ico image-x-icon
ics text-calendar
icz text-calendar
ief image-ief
ifb text-calendar
ifm application-vnd.shana.informed.formdata
iges model-iges
igl application-vnd.igloader
igm application-vnd.insors.igm
igs model-iges
igx application-vnd.micrografx.igx
iif application-vnd.shana.informed.interchange
iii application-x-iphone
imp application-vnd.accpac.simply.imp
ims application-vnd.ms-ims
info application-x-info
ink application-inkml+xml
inkml application-inkml+xml
inp chemical-x-gamess-input
ins application-x-internet-signup
install application-x-install-instructions
in text-plain
iota application-vnd.astraea-software.iota
ipfix application-ipfix
ipk application-vnd.shana.informed.package
irm application-vnd.ibm.rights-management
irp application-vnd.irepository.package+xml
iso application-octet-stream
isp application-x-internet-signup
ist chemical-x-isostar
istr chemical-x-isostar
itp application-vnd.shana.informed.formtemplate
ivp application-vnd.immervision-ivp
ivu application-vnd.immervision-ivu
jad text-vnd.sun.j2me.app-descriptor
jam application-x-jam
jar application-java-archive
java text-x-java
jdx chemical-x-jcamp-dx
jisp application-vnd.jisp
jlt application-vnd.hp-jlyt
jmz application-x-jmol
jng image-x-jng
jnlp application-x-java-jnlp-file
joda application-vnd.joost.joda-archive
jpeg image-jpeg
jpe image-jpeg
jpg image-jpeg
jpgm video
jpgv video
jpm video
js application-javascript
json application-json
jsonml application-jsonml+json
kar audio-midi
karbon application-vnd.kde.karbon
key application-pgp-keys
kfo application-vnd.kde.kformula
kia application-vnd.kidspiration
kil application-x-killustrator
kin chemical-x-kinemage
kml application-vnd.google-earth.kml+xml
kmz application-vnd.google-earth.kmz
kne application-vnd.kinar
knp application-vnd.kinar
kon application-vnd.kde.kontour
