123 application-vnd.lotus-1-2-3
wgt application-widget
wk application-x-123
wks application-vnd.ms-works
wma audio-x-ms-wma
wmd application-x-ms-wmd
wmf application-x-msmetafile
wmlc application-vnd.wap.wmlc
wmlsc application-vnd.wap.wmlscriptc
wmls text-vnd.wap.wmlscript
wml text-vnd.wap.wml
wm video
wmv video
wmx video
wmz application-x-ms-wmz
woff application-x-font-woff
wp5 application-wordperfect5.1
wpd application-wordperfect
wpl application-vnd.ms-wpl
wps application-vnd.ms-works
wqd application-vnd.wqd
wri application-x-mswrite
wrl model-vrml
wsc text-scriptlet
wsdl application-wsdl+xml
wspolicy application-wspolicy+xml
wtb application-vnd.webturbo
wvx video
wz application-x-wingz
x32 application-x-authorware-bin
x3db model-x3d+binary
x3dbz model-x3d+binary
x3d model-x3d+xml
x3dv model-x3d+vrml
x3dvz model-x3d+vrml
x3dz model-x3d+xml
xaml application-xaml+xml
xap application-x-silverlight-app
xar application-vnd.xara
xbap application-x-ms-xbap
xbd application-vnd.fujixerox.docuworks.binder
xbm image-x-xbitmap
xcf application-x-xcf
xcos application-x-scilab-xcos
xdf application-xcap-diff+xml
xdm application-vnd.syncml.dm+xml
xdp application-vnd.adobe.xdp+xml
xdssc application-dssc+xml
xdw application-vnd.fujixerox.docuworks
xenc application-xenc+xml
xer application-patch-ops-error+xml
xfdf application-vnd.adobe.xfdf
xfdl application-vnd.xfdl
xht application-xhtml+xml
xhtml application-xhtml+xml
xhvml application-xv+xml
xif image-vnd.xiff
xla application-vnd.ms-excel
xlam application-vnd.ms-excel.addin.macroEnabled.12
xlb application-vnd.ms-excel
xlc application-vnd.ms-excel
xlf application-x-xliff+xml
xlm application-vnd.ms-excel
xls application-vnd.ms-excel
xlsb application-vnd.ms-excel.sheet.binary.macroEnabled.12
xlsm application-vnd.ms-excel.sheet.macroEnabled.12
xlsx application-vnd.openxmlformats-officedocument.spreadsheetml.sheet
xlt application-vnd.ms-excel
xltm application-vnd.ms-excel.template.macroEnabled.12
xltx application-vnd.openxmlformats-officedocument.spreadsheetml.template
xlw application-vnd.ms-excel
xm audio-xm
xml application-xml
xo application-vnd.olpc-sugar
xop application-xop+xml
xpi application-x-xpinstall
xpl application-xproc+xml
xpm image-x-xpixmap
xpr application-vnd.is-xpr
xps application-vnd.ms-xpsdocument
xpw application-vnd.intercon.formnet
xpx application-vnd.intercon.formnet
xsd application-xml
xsl application-xml
xslt application-xslt+xml
xsm application-vnd.syncml+xml
xspf application-xspf+xml
xtel chemical-x-xtel
xul application-vnd.mozilla.xul+xml
xvm application-xv+xml
xvml application-xv+xml
xwd image-x-xwindowdump
xyz chemical-x-xyz
xz application-x-xz
yang application-yang
yin application-yin+xml
z1 application-x-zmachine
z2 application-x-zmachine
z3 application-x-zmachine
z4 application-x-zmachine
z5 application-x-zmachine
z6 application-x-zmachine
z7 application-x-zmachine
z8 application-x-zmachine
zaz application-vnd.zzazz.deck+xml
zip application-zip
zir application-vnd.zul
zirz application-vnd.zul
zmm application-vnd.handheld-entertainment+xml
zmt chemical-x-mopac-input
